DATE,DEXUSEU
8/5/2015,1.1241
11/5/2015,1.1142
12/5/2015,1.124
13/05/2015,1.1372
14/05/2015,1.1368
15/05/2015,1.1428
18/05/2015,1.1354
19/05/2015,1.1151
20/05/2015,1.1079
21/05/2015,1.1126
22/05/2015,1.1033
25/05/2015,1.1033
26/05/2015,1.0876
27/05/2015,1.0888
28/05/2015,1.0914
29/05/2015,1.0994
1/6/2015,1.0913
2/6/2015,1.113
3/6/2015,1.1285
4/6/2015,1.1271
5/6/2015,1.1108
8/6/2015,1.1232
9/6/2015,1.1284
10/6/2015,1.1307
11/6/2015,1.1236
12/6/2015,1.1278
15/06/2015,1.1266
16/06/2015,1.1238
17/06/2015,1.1244
18/06/2015,1.1404
19/06/2015,1.1335
22/06/2015,1.1378
23/06/2015,1.119
24/06/2015,1.1178
25/06/2015,1.1196
26/06/2015,1.1156
29/06/2015,1.118
30/06/2015,1.1154
1/7/2015,1.1084
2/7/2015,1.109
3/7/2015,1.109
6/7/2015,1.1076
7/7/2015,1.0952
8/7/2015,1.1072
9/7/2015,1.1025
10/7/2015,1.115
13/07/2015,1.102
14/07/2015,1.1015
15/07/2015,1.0965
16/07/2015,1.0898
17/07/2015,1.0848
20/07/2015,1.085
21/07/2015,1.0927
22/07/2015,1.0884
23/07/2015,1.0976
24/07/2015,1.0976
27/07/2015,1.1112
28/07/2015,1.1055
29/07/2015,1.1026
30/07/2015,1.0914
31/07/2015,1.1028
3/8/2015,1.0962
4/8/2015,1.0953
5/8/2015,1.0868
6/8/2015,1.0922
7/8/2015,1.0958
10/8/2015,1.0994
11/8/2015,1.1042
12/8/2015,1.1198
13/08/2015,1.1144
14/08/2015,1.111
17/08/2015,1.1078
18/08/2015,1.1028
19/08/2015,1.1061
20/08/2015,1.12
21/08/2015,1.1356
24/08/2015,1.158
25/08/2015,1.141
26/08/2015,1.139
27/08/2015,1.1239
28/08/2015,1.1172
31/08/2015,1.1194
1/9/2015,1.1263
2/9/2015,1.1242
3/9/2015,1.1104
4/9/2015,1.1117
7/9/2015,1.1117
8/9/2015,1.1182
9/9/2015,1.1165
10/9/2015,1.1262
11/9/2015,1.1338
14/09/2015,1.1307
15/09/2015,1.126
16/09/2015,1.1304
17/09/2015,1.1312
18/09/2015,1.1358
21/09/2015,1.1204
22/09/2015,1.1133
23/09/2015,1.116
24/09/2015,1.1252
25/09/2015,1.1192
