"age","ast","astp","blk","blkp","college","draft","draftrank","draftround","drb","drbp","drtg","dws","efgp","fgattempt","fgmade","fgp","ftattempt","ftmade","ftp","gamesplayed","gamesstarted","height","league","minutes","name","nbadebut","orb","orbp","org_team","ortg","ows","p3attempt","p3made","p3p","per","pf","position","position_org","pts","salary","season","source","stl","stlp","tm","tov","tovp","trb","trbp","tsp","usgp","weight","ws","ws48","key"
22,2,4.59999990463257,2,2.59999990463257,"floridast",2010,50,"2",7,14.3999996185303,111,0,0.200000002980232,15,3,0.200000002980232,2,0,0,12,0,"7-1","NBA",59,"Alabi Solomon",2010,7,13.6999998092651,"TOR",61,-0.200000002980232,0,0,NA,2,5,"center","Center",6,770000,2010,"http://www.basketball-reference.com/players/a/alabiso01.html",2,1.70000004768372,"TOR",3,15.8999996185303,14,14.1000003814697,0.188999995589256,14.3000001907349,251,-0.200000002980232,-0.140000000596046,"center_2010"
22,4,4,7,3.59999990463257,"kansas",2010,11,"1",22,17.5,104,0.200000002980232,0.532999992370605,15,8,0.532999992370605,4,2,0.5,18,0,"6-11","NBA",142,"Aldrich Cole",2010,13,11.1000003814697,"OKC",98,0,0,0,NA,7,30,"center","Center",18,2126520,2010,"http://www.basketball-reference.com/players/a/aldrico01.html",5,1.79999995231628,"OKC",8,32.2999992370605,35,14.3999996185303,0.537000000476837,7.90000009536743,245,0.200000002980232,0.0659999996423721,"center_2010"
21,24,3.20000004768372,73,4.19999980926514,"texas",2006,2,"1",168,15.3000001907349,109,1,0.503000020980835,479,241,0.503000020980835,115,83,0.722000002861023,63,22,"6-11","NBA",1392,"Aldridge LaMarcus",2006,144,12.6000003814697,"POR",113,2.5,2,0,0,17.1000003814697,186,"forward","Forward",565,4027320,2006,"http://www.basketball-reference.com/players/a/aldrila01.html",22,0.899999976158142,"POR",43,7.5,312,13.8999996185303,0.532999992370605,19.2999992370605,240,3.40000009536743,0.118000000715256,"forward_2006"
22,122,8.80000019073486,94,2.79999995231628,"texas",2006,2,"1",358,15.8000001907349,107,2.79999995231628,0.483999997377396,1160,561,0.483999997377396,298,227,0.762000024318695,76,76,"6-11","NBA",2649,"Aldridge LaMarcus",2006,220,9.80000019073486,"POR",108,3.5,7,1,0.14300000667572,18.5,240,"forward","Forward",1350,4329360,2007,"http://www.basketball-reference.com/players/a/aldrila01.html",55,1.10000002384186,"POR",126,8.89999961853027,578,12.8000001907349,0.523000001907349,25.2999992370605,240,6.19999980926514,0.112999998033047,"forward_2007"
23,157,9.30000019073486,77,2,"texas",2006,2,"1",371,15.6000003814697,108,3.29999995231628,0.486000001430511,1243,601,0.483999997377396,334,261,0.781000018119812,81,81,"6-11","NBA",3004,"Aldridge LaMarcus",2006,234,9.5,"POR",115,6.09999990463257,28,7,0.25,19.1000003814697,207,"forward","Forward",1470,4631400,2008,"http://www.basketball-reference.com/players/a/aldrila01.html",77,1.39999997615814,"POR",121,8,605,12.5,0.528999984264374,23.7000007629395,240,9.5,0.150999993085861,"forward_2008"
24,160,9.89999961853027,48,1.29999995231628,"texas",2006,2,"1",435,18.6000003814697,107,3.29999995231628,0.497000008821487,1169,579,0.495000004768372,304,230,0.757000029087067,78,78,"6-11","NBA",2922,"Aldridge LaMarcus",2006,192,8.10000038146973,"POR",113,5.5,16,5,0.312999993562698,18.2000007629395,231,"forward","Forward",1393,5844827,2009,"http://www.basketball-reference.com/players/a/aldrila01.html",67,1.29999995231628,"POR",104,7.40000009536743,627,13.3000001907349,0.535000026226044,22.8999996185303,240,8.80000019073486,0.144999995827675,"forward_2009"
25,170,10.1000003814697,94,2.40000009536743,"texas",2006,2,"1",431,17.2000007629395,107,3.5,0.500999987125397,1415,707,0.5,444,351,0.791000008583069,81,81,"6-11","NBA",3211,"Aldridge LaMarcus",2006,278,10.1000003814697,"POR",114,7.59999990463257,23,4,0.17399999499321,21.5,220,"forward","Forward",1769,11244000,2010,"http://www.basketball-reference.com/players/a/aldrila01.html",82,1.39999997615814,"POR",153,8.69999980926514,709,13.5,0.549000024795532,25.7000007629395,240,11.1000003814697,0.165999993681908,"forward_2010"
26,58,25.7000007629395,2,0.400000005960464,"virginia",1995,29,"1",34,11.3000001907349,103,0.400000005960464,0.331999987363815,98,28,0.28600001335144,22,17,0.773000001907349,29,2,"6-1","NBA",329,"Alexander Cory",1995,8,2.59999990463257,"DEN",84,-0.5,35,9,0.256999999284744,8.80000019073486,39,"guard","Guard",82,1980000,1999,"http://www.basketball-reference.com/players/a/alexaco01.html",24,3.70000004768372,"DEN",28,20.6000003814697,42,6.90000009536743,0.381000012159348,18,185,-0.100000001490116,-0.0120000001043081,"guard_1999"
27,36,23.5,0,0,"virginia",1995,29,"1",25,12.5,100,0.300000011920929,0.35699999332428,56,18,0.321000009775162,18,12,0.666999995708466,26,0,"6-1","NBA",227,"Alexander Cory",1995,0,0,"ORL",77,-0.5,16,4,0.25,6.30000019073486,29,"guard","Guard",52,2160000,2000,"http://www.basketball-reference.com/players/a/alexaco01.html",16,3.59999990463257,"ORL",25,28.1000003814697,25,6.09999990463257,0.407000005245209,17.2999992370605,185,-0.100000001490116,-0.0309999994933605,"guard_2000"
31,37,27.7000007629395,1,0.400000005960464,"virginia",1995,29,"1",21,12.6000003814697,108,0.200000002980232,0.407999992370605,49,16,0.326999992132187,12,9,0.75,16,1,"6-1","NBA",201,"Alexander Cory",1995,8,4.30000019073486,"CHA",91,-0.200000002980232,19,8,0.421000003814697,8.80000019073486,29,"guard","Guard",49,NA,2004,"http://www.basketball-reference.com/players/a/alexaco01.html",9,2.29999995231628,"CHA",19,25.8999996185303,29,8.19999980926514,0.45100000500679,16.2000007629395,185,0,0.0020000000949949,"guard_2004"
23,21,6.90000009536743,3,0.5,"fresnost",2000,13,"1",43,9.89999961853027,104,0.400000005960464,0.35699999332428,178,62,0.34799998998642,45,33,0.732999980449677,38,6,"6-5","NBA",472,"Alexander Courtney",2000,20,4.90000009536743,"DAL",86,-0.5,10,3,0.300000011920929,6.80000019073486,76,"guard","Guard",160,1319400,2000,"http://www.basketball-reference.com/players/a/alexaco02.html",16,1.70000004768372,"DAL",21,9.60000038146973,63,7.5,0.404000014066696,21.1000003814697,205,-0.100000001490116,-0.0130000002682209,"guard_2000"
